date;ticker;close;open;high;low
31/12/1993;FTSE_all_world_index;93,68;#N/A N/A;#N/A N/A;#N/A N/A
03/01/1994;FTSE_all_world_index;93,68;#N/A N/A;#N/A N/A;#N/A N/A
04/01/1994;FTSE_all_world_index;93,77;#N/A N/A;#N/A N/A;#N/A N/A
05/01/1994;FTSE_all_world_index;94,15;#N/A N/A;#N/A N/A;#N/A N/A
06/01/1994;FTSE_all_world_index;94,21;#N/A N/A;#N/A N/A;#N/A N/A
07/01/1994;FTSE_all_world_index;94,9;#N/A N/A;#N/A N/A;#N/A N/A
10/01/1994;FTSE_all_world_index;95,7;#N/A N/A;#N/A N/A;#N/A N/A
11/01/1994;FTSE_all_world_index;95,22;#N/A N/A;#N/A N/A;#N/A N/A
12/01/1994;FTSE_all_world_index;95,03;#N/A N/A;#N/A N/A;#N/A N/A
13/01/1994;FTSE_all_world_index;94,26;#N/A N/A;#N/A N/A;#N/A N/A
14/01/1994;FTSE_all_world_index;95,46;#N/A N/A;#N/A N/A;#N/A N/A
17/01/1994;FTSE_all_world_index;95,25;#N/A N/A;#N/A N/A;#N/A N/A
18/01/1994;FTSE_all_world_index;95,55;#N/A N/A;#N/A N/A;#N/A N/A
19/01/1994;FTSE_all_world_index;96,35;#N/A N/A;#N/A N/A;#N/A N/A
20/01/1994;FTSE_all_world_index;96,44;#N/A N/A;#N/A N/A;#N/A N/A
21/01/1994;FTSE_all_world_index;96,7;#N/A N/A;#N/A N/A;#N/A N/A
24/01/1994;FTSE_all_world_index;95,21;#N/A N/A;#N/A N/A;#N/A N/A
25/01/1994;FTSE_all_world_index;95,53;#N/A N/A;#N/A N/A;#N/A N/A
26/01/1994;FTSE_all_world_index;96,39;#N/A N/A;#N/A N/A;#N/A N/A
27/01/1994;FTSE_all_world_index;96,87;#N/A N/A;#N/A N/A;#N/A N/A
28/01/1994;FTSE_all_world_index;97,3;#N/A N/A;#N/A N/A;#N/A N/A
31/01/1994;FTSE_all_world_index;99,63;#N/A N/A;#N/A N/A;#N/A N/A
01/02/1994;FTSE_all_world_index;100,29;#N/A N/A;#N/A N/A;#N/A N/A
02/02/1994;FTSE_all_world_index;100,16;#N/A N/A;#N/A N/A;#N/A N/A
03/02/1994;FTSE_all_world_index;99,77;#N/A N/A;#N/A N/A;#N/A N/A
04/02/1994;FTSE_all_world_index;98,9;#N/A N/A;#N/A N/A;#N/A N/A
07/02/1994;FTSE_all_world_index;97,58;#N/A N/A;#N/A N/A;#N/A N/A
08/02/1994;FTSE_all_world_index;97,85;#N/A N/A;#N/A N/A;#N/A N/A
09/02/1994;FTSE_all_world_index;97,79;#N/A N/A;#N/A N/A;#N/A N/A
10/02/1994;FTSE_all_world_index;97,45;#N/A N/A;#N/A N/A;#N/A N/A
11/02/1994;FTSE_all_world_index;97,45;#N/A N/A;#N/A N/A;#N/A N/A
14/02/1994;FTSE_all_world_index;97,8;#N/A N/A;#N/A N/A;#N/A N/A
15/02/1994;FTSE_all_world_index;98,08;#N/A N/A;#N/A N/A;#N/A N/A
16/02/1994;FTSE_all_world_index;98,14;#N/A N/A;#N/A N/A;#N/A N/A
17/02/1994;FTSE_all_world_index;97,78;#N/A N/A;#N/A N/A;#N/A N/A
18/02/1994;FTSE_all_world_index;97,6;#N/A N/A;#N/A N/A;#N/A N/A
21/02/1994;FTSE_all_world_index;96,82;#N/A N/A;#N/A N/A;#N/A N/A
22/02/1994;FTSE_all_world_index;97,32;#N/A N/A;#N/A N/A;#N/A N/A
23/02/1994;FTSE_all_world_index;97,55;#N/A N/A;#N/A N/A;#N/A N/A
24/02/1994;FTSE_all_world_index;97,01;#N/A N/A;#N/A N/A;#N/A N/A
25/02/1994;FTSE_all_world_index;97,44;#N/A N/A;#N/A N/A;#N/A N/A
28/02/1994;FTSE_all_world_index;98,35;#N/A N/A;#N/A N/A;#N/A N/A
