time,open,high,low,close,tick_volume,spread,real_volume,ticker
2009-01-02,38.28,40.32,37.94,40.32,91.0,1.0,119900.0,BOVA11
2009-01-05,40.2,42.0,39.7,42.0,83.0,1.0,341700.0,BOVA11
2009-01-06,42.06,42.32,41.55,42.32,114.0,1.0,178300.0,BOVA11
2009-01-07,41.75,41.77,40.45,40.64,74.0,1.0,73400.0,BOVA11
2009-01-08,40.15,42.2,40.15,42.2,74.0,1.0,195300.0,BOVA11
2009-01-09,41.98,42.47,41.16,42.0,150.0,1.0,271900.0,BOVA11
2009-01-12,40.71,40.75,39.38,39.7,45.0,1.0,37700.0,BOVA11
2009-01-13,38.76,40.26,38.54,40.0,66.0,1.0,177300.0,BOVA11
2009-01-14,39.4,39.47,37.7,38.03,54.0,1.0,205500.0,BOVA11
2009-01-15,37.89,39.36,36.93,39.36,77.0,1.0,120500.0,BOVA11
2009-01-16,39.68,39.84,38.66,39.49,107.0,1.0,177700.0,BOVA11
2009-01-19,39.71,39.83,38.62,38.95,44.0,1.0,324700.0,BOVA11
2009-01-20,38.51,39.06,37.35,38.99,23.0,1.0,19400.0,BOVA11
2009-01-21,37.95,38.85,37.37,38.85,50.0,1.0,32900.0,BOVA11
2009-01-22,38.8,38.8,37.4,38.24,199.0,1.0,417600.0,BOVA11
2009-01-23,37.01,38.43,36.8,38.08,43.0,1.0,118500.0,BOVA11
2009-01-26,38.06,39.5,37.91,39.0,44.0,1.0,77700.0,BOVA11
2009-01-27,38.51,38.99,38.32,38.99,27.0,1.0,49400.0,BOVA11
2009-01-28,39.37,40.9,39.37,40.9,56.0,1.0,37300.0,BOVA11
2009-01-29,39.74,40.81,39.37,39.6,79.0,1.0,363500.0,BOVA11
2009-01-30,39.27,40.2,39.27,39.6,35.0,1.0,126400.0,BOVA11
2009-02-02,38.68,39.3,38.5,39.0,19.0,1.0,7800.0,BOVA11
2009-02-03,38.69,40.0,38.69,40.0,164.0,1.0,162400.0,BOVA11
2009-02-04,40.08,41.35,39.94,40.4,126.0,1.0,114100.0,BOVA11
2009-02-05,40.36,41.5,39.72,41.5,32.0,1.0,9000.0,BOVA11
2009-02-06,41.63,43.2,41.6,43.2,65.0,1.0,294500.0,BOVA11
2009-02-09,42.71,43.29,41.92,42.0,46.0,1.0,138100.0,BOVA11
2009-02-10,42.35,42.72,40.96,41.34,41.0,1.0,118200.0,BOVA11
2009-02-11,41.37,41.86,40.32,41.0,55.0,1.0,48700.0,BOVA11
2009-02-12,40.3,40.95,39.93,40.79,54.0,1.0,76800.0,BOVA11
2009-02-13,41.87,41.87,41.04,41.85,18.0,1.0,4400.0,BOVA11
2009-02-16,41.16,41.99,40.9,41.99,18.0,1.0,33200.0,BOVA11
2009-02-17,40.32,40.75,39.74,40.0,55.0,1.0,93500.0,BOVA11
2009-02-18,40.2,40.35,39.11,39.99,49.0,1.0,74800.0,BOVA11
2009-02-19,40.0,40.26,39.66,40.0,27.0,1.0,20200.0,BOVA11
2009-02-20,39.51,39.51,37.99,39.2,69.0,1.0,70900.0,BOVA11
2009-02-25,39.3,39.3,37.95,38.65,32.0,1.0,51100.0,BOVA11
2009-02-26,38.86,39.07,38.26,38.75,58.0,1.0,87600.0,BOVA11
2009-02-27,37.3,38.75,37.3,38.75,147.0,1.0,124400.0,BOVA11
2009-03-02,38.4,38.4,36.1,36.6,162.0,1.0,120100.0,BOVA11
2009-03-03,36.48,37.03,35.73,36.77,83.0,1.0,211500.0,BOVA11
2009-03-04,37.85,38.95,37.35,38.8,75.0,1.0,144300.0,BOVA11
2009-03-05,37.84,38.0,36.91,37.3,54.0,1.0,88500.0,BOVA11
2009-03-06,37.72,38.25,36.51,37.5,58.0,1.0,73400.0,BOVA11
2009-03-09,36.4,37.41,36.4,37.0,40.0,1.0,38000.0,BOVA11
2009-03-10,38.0,38.9,37.0,38.9,97.0,1.0,314000.0,BOVA11
2009-03-11,39.01,39.23,38.27,38.85,83.0,1.0,108000.0,BOVA11
2009-03-12,38.42,39.5,38.31,39.5,47.0,1.0,138900.0,BOVA11
2009-03-13,39.6,39.63,38.5,39.2,61.0,1.0,139500.0,BOVA11
2009-03-16,39.2,39.68,38.45,38.75,128.0,1.0,321600.0,BOVA11
2009-03-17,38.29,39.79,37.97,39.79,67.0,1.0,100200.0,BOVA11
2009-03-18,39.7,40.56,38.82,40.3,167.0,1.0,232500.0,BOVA11
2009-03-19,40.99,41.09,40.41,40.6,68.0,1.0,245900.0,BOVA11
2009-03-20,40.52,40.65,40.0,40.2,49.0,1.0,51700.0,BOVA11
2009-03-23,41.35,42.6,41.0,42.6,104.0,1.0,430300.0,BOVA11
2009-03-24,41.73,41.98,41.5,41.6,51.0,1.0,167400.0,BOVA11
2009-03-25,41.87,42.5,41.03,41.8,73.0,1.0,488500.0,BOVA11
2009-03-26,42.24,42.7,41.92,42.7,70.0,1.0,501900.0,BOVA11
2009-03-27,41.85,41.98,41.51,41.74,61.0,1.0,494500.0,BOVA11
2009-03-30,40.99,41.01,40.38,40.9,67.0,1.0,176200.0,BOVA11
2009-03-31,41.94,41.95,40.57,40.57,63.0,1.0,287600.0,BOVA11
2009-04-01,40.33,42.1,40.11,42.1,55.0,1.0,300500.0,BOVA11
2009-04-02,43.32,44.12,43.18,43.7,123.0,1.0,429600.0,BOVA11
2009-04-03,43.81,44.55,43.46,44.55,91.0,1.0,538500.0,BOVA11
2009-04-06,44.58,44.58,43.33,44.35,78.0,1.0,599200.0,BOVA11
